Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.25, 0.35, 2, TSVD, 0.623695, 0.263110, 0.433156, 51.00
0.25, 0.35, 2, sigma-NMD (TSVD init), 0.560204, 0.271225, 0.448899, 591.00
0.25, 0.35, 2, ReLU-NMD (TSVD init), 0.622460, 0.264463, 0.429811, 11.00
0.25, 0.35, 2, sigma-NMD (Random init), 0.588125, 0.289632, 0.450858, 589.00
0.25, 0.35, 2, ReLU-NMD (Random init), 0.667412, 0.288730, 3437.874625, 154.00
0.25, 0.35, 2, NMF, 0.625084, 0.261157, 0.432162, 45.00
0.25, 0.35, 5, TSVD, 0.467455, 0.220436, 0.481170, 295.00
0.25, 0.35, 5, sigma-NMD (TSVD init), 0.221988, 0.261458, 0.505768, 1731.00
0.25, 0.35, 5, ReLU-NMD (TSVD init), 0.448532, 0.227648, 0.449238, 21.00
0.25, 0.35, 5, sigma-NMD (Random init), 0.245612, 0.268745, 0.509033, 2155.00
0.25, 0.35, 5, ReLU-NMD (Random init), 0.574823, 0.283997, 5689580.137581, 26.00
0.25, 0.35, 5, NMF, 0.483170, 0.219760, 2.816370, 85.00
0.25, 0.35, 10, TSVD, 0.276031, 0.268069, 1.366335, 1522.00
0.25, 0.35, 10, sigma-NMD (TSVD init), 0.027098, 0.286251, 0.514167, 101.00
0.25, 0.35, 10, ReLU-NMD (TSVD init), 0.203977, 0.260706, 64912709.387193, 21.00
0.25, 0.35, 10, sigma-NMD (Random init), 0.075393, 0.275357, 0.505908, 88.00
0.25, 0.35, 10, ReLU-NMD (Random init), 0.356751, 0.277686, 619175.187957, 21.00
0.25, 0.35, 10, NMF, 0.319126, 0.256273, 96.275428, 210.00
