Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.05, 0.09, 2, TSVD, 0.827069, 0.092559, 0.268241, 62.00
0.05, 0.09, 2, sigma-NMD (TSVD init), 0.765868, 0.098004, 0.277608, 641.00
0.05, 0.09, 2, ReLU-NMD (TSVD init), 0.732590, 0.092559, 0.281637, 161.00
0.05, 0.09, 2, sigma-NMD (Random init), 0.768413, 0.095281, 0.274659, 716.00
0.05, 0.09, 2, ReLU-NMD (Random init), 0.751593, 0.095463, 4.476873, 101.00
0.05, 0.09, 2, NMF, 0.827113, 0.092559, 0.268265, 21.00
0.05, 0.09, 5, TSVD, 0.758262, 0.090926, 0.272229, 533.00
0.05, 0.09, 5, sigma-NMD (TSVD init), 0.357440, 0.123412, 0.347968, 3281.00
0.05, 0.09, 5, ReLU-NMD (TSVD init), 0.423008, 0.123412, 0.591071, 2861.00
0.05, 0.09, 5, sigma-NMD (Random init), 0.390808, 0.115971, 0.334209, 2273.00
0.05, 0.09, 5, ReLU-NMD (Random init), 0.439430, 0.112704, 0.601339, 2180.00
0.05, 0.09, 5, NMF, 0.762952, 0.092377, 0.542057, 51.00
0.05, 0.09, 10, TSVD, 0.663043, 0.098548, 0.272203, 1226.00
0.05, 0.09, 10, sigma-NMD (TSVD init), 0.162817, 0.137931, 0.356553, 161.00
0.05, 0.09, 10, ReLU-NMD (TSVD init), 0.139144, 0.128857, 0.592845, 911.00
0.05, 0.09, 10, sigma-NMD (Random init), 0.234754, 0.127223, 0.345901, 156.00
0.05, 0.09, 10, ReLU-NMD (Random init), 0.203433, 0.135753, 60.034447, 419.00
0.05, 0.09, 10, NMF, 0.678591, 0.092377, 1.669558, 82.00
