Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.10, 0.43, 2, TSVD, 0.485276, 0.128655, 0.343504, 26.00
0.10, 0.43, 2, sigma-NMD (TSVD init), 0.372020, 0.128655, 0.303092, 971.00
0.10, 0.43, 2, ReLU-NMD (TSVD init), 0.482619, 0.128655, 0.339373, 11.00
0.10, 0.43, 2, sigma-NMD (Random init), 0.378918, 0.142690, 0.325200, 903.00
0.10, 0.43, 2, ReLU-NMD (Random init), 0.541442, 0.204094, 213.812232, 73.00
0.10, 0.43, 2, NMF, 0.489647, 0.128655, 0.338419, 30.00
0.10, 0.43, 5, TSVD, 0.290878, 0.097661, 0.333419, 202.00
0.10, 0.43, 5, sigma-NMD (TSVD init), 0.053958, 0.122807, 0.346334, 151.00
0.10, 0.43, 5, ReLU-NMD (TSVD init), 0.141861, 0.116959, 0.456705, 1251.00
0.10, 0.43, 5, sigma-NMD (Random init), 0.086625, 0.136257, 0.352713, 146.00
0.10, 0.43, 5, ReLU-NMD (Random init), 0.187428, 0.135088, 4.560746, 977.00
0.10, 0.43, 5, NMF, 0.319044, 0.099415, 2.004625, 77.00
0.10, 0.43, 10, TSVD, 0.130097, 0.159649, 1.109148, 1464.00
0.10, 0.43, 10, sigma-NMD (TSVD init), 0.000223, 0.140351, 0.352903, 81.00
0.10, 0.43, 10, ReLU-NMD (TSVD init), 0.000677, 0.198830, 0.794763, 10001.00
0.10, 0.43, 10, sigma-NMD (Random init), 0.004015, 0.130994, 0.327112, 81.00
0.10, 0.43, 10, ReLU-NMD (Random init), 0.065703, 0.168421, 0.689534, 1227.00
0.10, 0.43, 10, NMF, 0.181356, 0.161404, 32.355880, 229.00
