Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.05, 0.32, 2, TSVD, 0.635137, 0.220301, 0.408557, 45.00
0.05, 0.32, 2, sigma-NMD (TSVD init), 0.595087, 0.251880, 0.404948, 411.00
0.05, 0.32, 2, ReLU-NMD (TSVD init), 0.633654, 0.218045, 0.405949, 11.00
0.05, 0.32, 2, sigma-NMD (Random init), 0.603484, 0.257143, 0.429792, 531.00
0.05, 0.32, 2, ReLU-NMD (Random init), 0.669990, 0.262030, 0.443218, 136.00
0.05, 0.32, 2, NMF, 0.636942, 0.214662, 0.404121, 47.00
0.05, 0.32, 5, TSVD, 0.492352, 0.192105, 0.403645, 253.00
0.05, 0.32, 5, sigma-NMD (TSVD init), 0.294887, 0.236842, 0.476865, 1821.00
0.05, 0.32, 5, ReLU-NMD (TSVD init), 0.461013, 0.180451, 0.405038, 31.00
0.05, 0.32, 5, sigma-NMD (Random init), 0.298597, 0.237970, 0.478814, 2331.00
0.05, 0.32, 5, ReLU-NMD (Random init), 0.539834, 0.236842, 51785.317701, 24.00
0.05, 0.32, 5, NMF, 0.500328, 0.199248, 0.379164, 42.00
0.05, 0.32, 10, TSVD, 0.350719, 0.233459, 0.587328, 804.00
0.05, 0.32, 10, sigma-NMD (TSVD init), 0.053531, 0.334586, 0.568920, 151.00
0.05, 0.32, 10, ReLU-NMD (TSVD init), 0.230335, 0.270677, 0.773957, 381.00
0.05, 0.32, 10, sigma-NMD (Random init), 0.109853, 0.255639, 0.491273, 105.00
0.05, 0.32, 10, ReLU-NMD (Random init), 0.333622, 0.234962, 855471.892169, 42.00
0.05, 0.32, 10, NMF, 0.369689, 0.215038, 12.459674, 125.00
