Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.25, 0.31, 2, TSVD, 0.638122, 0.212776, 0.393700, 57.00
0.25, 0.31, 2, sigma-NMD (TSVD init), 0.596364, 0.215602, 0.404507, 581.00
0.25, 0.31, 2, ReLU-NMD (TSVD init), 0.630431, 0.210074, 0.401289, 31.00
0.25, 0.31, 2, sigma-NMD (Random init), 0.597143, 0.218612, 0.411151, 606.00
0.25, 0.31, 2, ReLU-NMD (Random init), 0.667527, 0.243366, 2.185538, 76.00
0.25, 0.31, 2, NMF, 0.641061, 0.213636, 0.392241, 44.00
0.25, 0.31, 5, TSVD, 0.512641, 0.205405, 0.404740, 422.00
0.25, 0.31, 5, sigma-NMD (TSVD init), 0.307136, 0.221744, 0.463114, 2211.00
0.25, 0.31, 5, ReLU-NMD (TSVD init), 0.430267, 0.198403, 0.617717, 141.00
0.25, 0.31, 5, sigma-NMD (Random init), 0.321662, 0.228440, 0.467311, 2226.00
0.25, 0.31, 5, ReLU-NMD (Random init), 0.447978, 0.216278, 24740.727889, 61.00
0.25, 0.31, 5, NMF, 0.543305, 0.209582, 0.712524, 82.00
0.25, 0.31, 10, TSVD, 0.367666, 0.192506, 0.497502, 1183.00
0.25, 0.31, 10, sigma-NMD (TSVD init), 0.059977, 0.208845, 0.443701, 101.00
0.25, 0.31, 10, ReLU-NMD (TSVD init), 0.220689, 0.204545, 46855.807667, 31.00
0.25, 0.31, 10, sigma-NMD (Random init), 0.116627, 0.217752, 0.450434, 100.00
0.25, 0.31, 10, ReLU-NMD (Random init), 0.227567, 0.229177, 80676.660899, 40.00
0.25, 0.31, 10, NMF, 0.430276, 0.223096, 21.582210, 218.00
