Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.50, 0.29, 2, TSVD, 0.610603, 0.229914, 0.410852, 78.00
0.50, 0.29, 2, sigma-NMD (TSVD init), 0.539179, 0.239251, 0.444163, 791.00
0.50, 0.29, 2, ReLU-NMD (TSVD init), 0.608447, 0.230037, 0.406082, 11.00
0.50, 0.29, 2, sigma-NMD (Random init), 0.559740, 0.243857, 0.444478, 697.00
0.50, 0.29, 2, ReLU-NMD (Random init), 0.628051, 0.256050, 7276.866682, 56.00
0.50, 0.29, 2, NMF, 0.614880, 0.233354, 0.407555, 45.00
0.50, 0.29, 5, TSVD, 0.459048, 0.226873, 0.611476, 549.00
0.50, 0.29, 5, sigma-NMD (TSVD init), 0.172138, 0.264435, 0.510566, 1781.00
0.50, 0.29, 5, ReLU-NMD (TSVD init), 0.322821, 0.249079, 54600.356457, 111.00
0.50, 0.29, 5, sigma-NMD (Random init), 0.213729, 0.264650, 0.508513, 1603.00
0.50, 0.29, 5, ReLU-NMD (Random init), 0.377179, 0.256634, 39721.303916, 100.00
0.50, 0.29, 5, NMF, 0.498161, 0.237623, 9.118793, 153.00
0.50, 0.29, 10, TSVD, 0.225671, 0.278041, 3.053387, 3738.00
0.50, 0.29, 10, sigma-NMD (TSVD init), 0.000417, 0.258292, 0.495368, 121.00
0.50, 0.29, 10, ReLU-NMD (TSVD init), 0.001451, 0.281327, 24062.819153, 441.00
0.50, 0.29, 10, sigma-NMD (Random init), 0.084574, 0.243765, 0.473759, 77.00
0.50, 0.29, 10, ReLU-NMD (Random init), 0.123435, 0.273372, 147208.150892, 46.00
0.50, 0.29, 10, NMF, 0.334803, 0.285104, 216.364371, 374.00
