Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.50, 0.44, 2, TSVD, 0.438412, 0.215268, 0.460354, 51.00
0.50, 0.44, 2, sigma-NMD (TSVD init), 0.343693, 0.257576, 0.449469, 1131.00
0.50, 0.44, 2, ReLU-NMD (TSVD init), 0.435362, 0.213287, 0.422955, 11.00
0.50, 0.44, 2, sigma-NMD (Random init), 0.341758, 0.260956, 0.459797, 1072.00
0.50, 0.44, 2, ReLU-NMD (Random init), 0.594411, 0.345105, 3631567.926658, 44.00
0.50, 0.44, 2, NMF, 0.446442, 0.203963, 0.410595, 38.00
0.50, 0.44, 5, TSVD, 0.182698, 0.230420, 3.360522, 1149.00
0.50, 0.44, 5, sigma-NMD (TSVD init), 0.000437, 0.261072, 0.497404, 141.00
0.50, 0.44, 5, ReLU-NMD (TSVD init), 0.137890, 0.243590, 3.072405, 81.00
0.50, 0.44, 5, sigma-NMD (Random init), 0.033067, 0.221445, 0.448849, 89.00
0.50, 0.44, 5, ReLU-NMD (Random init), 0.201253, 0.311772, 12307690.651011, 57.00
0.50, 0.44, 5, NMF, 0.251257, 0.245221, 61.105132, 240.00
0.50, 0.44, 10, TSVD, 0.000450, 0.304545, 1.034659, 9403.70
0.50, 0.44, 10, sigma-NMD (TSVD init), 0.000263, 0.219114, 0.444064, 81.00
0.50, 0.44, 10, ReLU-NMD (TSVD init), 0.000199, 0.254079, 0.658076, 31.00
0.50, 0.44, 10, sigma-NMD (Random init), 0.000263, 0.207809, 0.421571, 71.00
0.50, 0.44, 10, ReLU-NMD (Random init), 0.132210, 0.361422, 36601173.674047, 35.00
0.50, 0.44, 10, NMF, 0.037826, 0.348485, 127.025685, 1898.00
