Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.50, 0.35, 2, TSVD, 0.602758, 0.278249, 0.460350, 49.00
0.50, 0.35, 2, sigma-NMD (TSVD init), 0.521096, 0.293764, 0.496868, 691.00
0.50, 0.35, 2, ReLU-NMD (TSVD init), 0.600443, 0.283246, 0.455626, 11.00
0.50, 0.35, 2, sigma-NMD (Random init), 0.539435, 0.313599, 0.496925, 747.00
0.50, 0.35, 2, ReLU-NMD (Random init), 0.720696, 0.332532, 24.210221, 133.00
0.50, 0.35, 2, NMF, 0.605818, 0.283696, 0.452075, 40.00
0.50, 0.35, 5, TSVD, 0.384099, 0.257513, 0.951526, 492.00
0.50, 0.35, 5, sigma-NMD (TSVD init), 0.121866, 0.305409, 0.544835, 751.00
0.50, 0.35, 5, ReLU-NMD (TSVD init), 0.351115, 0.268219, 0.839044, 21.00
0.50, 0.35, 5, sigma-NMD (Random init), 0.168141, 0.326972, 0.563880, 681.00
0.50, 0.35, 5, ReLU-NMD (Random init), 0.545318, 0.327986, 21403372.154218, 1024.00
0.50, 0.35, 5, NMF, 0.411434, 0.260481, 28.154854, 151.00
0.50, 0.35, 10, TSVD, 0.084986, 0.371788, 4.456563, 8989.00
0.50, 0.35, 10, sigma-NMD (TSVD init), 0.000347, 0.348986, 0.569986, 101.00
0.50, 0.35, 10, ReLU-NMD (TSVD init), 0.067333, 0.373028, 153193142.168390, 21.00
0.50, 0.35, 10, sigma-NMD (Random init), 0.042380, 0.311382, 0.531523, 71.00
0.50, 0.35, 10, ReLU-NMD (Random init), 0.350994, 0.346168, 1120194138.544460, 21.00
0.50, 0.35, 10, NMF, 0.207608, 0.309241, 418.054254, 480.00
