Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.05, 0.30, 2, TSVD, 0.647429, 0.231385, 0.390932, 66.00
0.05, 0.30, 2, sigma-NMD (TSVD init), 0.606976, 0.215385, 0.397919, 571.00
0.05, 0.30, 2, ReLU-NMD (TSVD init), 0.642655, 0.224615, 0.394681, 21.00
0.05, 0.30, 2, sigma-NMD (Random init), 0.609893, 0.208000, 0.393846, 586.00
0.05, 0.30, 2, ReLU-NMD (Random init), 0.664216, 0.235385, 0.438486, 70.00
0.05, 0.30, 2, NMF, 0.649405, 0.236615, 0.393689, 47.00
0.05, 0.30, 5, TSVD, 0.536317, 0.209231, 0.390877, 302.00
0.05, 0.30, 5, sigma-NMD (TSVD init), 0.351944, 0.187692, 0.426823, 2461.00
0.05, 0.30, 5, ReLU-NMD (TSVD init), 0.459331, 0.221538, 0.440673, 871.00
0.05, 0.30, 5, sigma-NMD (Random init), 0.360546, 0.209538, 0.445050, 2189.00
0.05, 0.30, 5, ReLU-NMD (Random init), 0.471338, 0.205231, 443.562565, 266.00
0.05, 0.30, 5, NMF, 0.559124, 0.224615, 0.396398, 77.00
0.05, 0.30, 10, TSVD, 0.405301, 0.136308, 0.355739, 948.00
0.05, 0.30, 10, sigma-NMD (TSVD init), 0.085273, 0.196923, 0.433865, 181.00
0.05, 0.30, 10, ReLU-NMD (TSVD init), 0.184803, 0.227692, 1.594664, 4151.00
0.05, 0.30, 10, sigma-NMD (Random init), 0.136071, 0.193231, 0.428065, 134.00
0.05, 0.30, 10, ReLU-NMD (Random init), 0.241260, 0.189231, 1920.990568, 1570.00
0.05, 0.30, 10, NMF, 0.471598, 0.203692, 3.218151, 132.00
