Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.10, 0.14, 2, sigma-NMD (TSVD init), 0.775344 ± 0.000125, 0.123938 ± 0.000095, 0.305551 ± 0.000115, 293.00 ± 6.463573
0.10, 0.14, 2, sigma-NMD (Random init), 0.780712 ± 0.002256, 0.126197 ± 0.001511, 0.306924 ± 0.000831, 335.00 ± 29.181425
0.10, 0.14, 2, eBCD-NMD (TSVD init), 0.795473 ± 0.000001, 0.121557 ± 0.000049, 0.307167 ± 0.000003, 12.00 ± 0.000000
0.10, 0.14, 2, eBCD-NMD (Random init), 0.798262 ± 0.000012, 0.122511 ± 0.000048, 0.307758 ± 0.000008, 16.90 ± 0.752034
0.10, 0.14, 2, TSVD, 0.795410 ± 0.000001, 0.122590 ± 0.000033, 0.307812 ± 0.000002, 58.00 ± 3.666667
0.10, 0.14, 5, sigma-NMD (TSVD init), 0.615313 ± 0.001375, 0.097382 ± 0.000650, 0.280494 ± 0.000720, 1273.00 ± 14.204851
0.10, 0.14, 5, sigma-NMD (Random init), 0.613954 ± 0.000774, 0.097759 ± 0.000627, 0.280089 ± 0.001083, 1269.00 ± 13.888444
0.10, 0.14, 5, eBCD-NMD (TSVD init), 0.725855 ± 0.000280, 0.112477 ± 0.000318, 0.288103 ± 0.000206, 17.60 ± 0.669992
0.10, 0.14, 5, eBCD-NMD (Random init), 0.727860 ± 0.000003, 0.113300 ± 0.000047, 0.287728 ± 0.000007, 20.00 ± 0.966092
0.10, 0.14, 5, TSVD, 0.726698 ± 0.000495, 0.111453 ± 0.000473, 0.288092 ± 0.000451, 578.00 ± 18.015425
0.10, 0.14, 10, sigma-NMD (TSVD init), 0.451128 ± 0.000289, 0.109938 ± 0.000582, 0.322477 ± 0.000933, 1965.00 ± 23.720596
0.10, 0.14, 10, sigma-NMD (Random init), 0.457739 ± 0.000689, 0.109036 ± 0.000489, 0.318976 ± 0.000549, 2071.00 ± 47.609523
0.10, 0.14, 10, eBCD-NMD (TSVD init), 0.662385 ± 0.000019, 0.102329 ± 0.000085, 0.273613 ± 0.000059, 21.30 ± 1.282792
0.10, 0.14, 10, eBCD-NMD (Random init), 0.662436 ± 0.000039, 0.102408 ± 0.000167, 0.273920 ± 0.000117, 23.10 ± 0.766667
0.10, 0.14, 10, TSVD, 0.665869 ± 0.000075, 0.100639 ± 0.000164, 0.278839 ± 0.000062, 432.00 ± 15.014808
