Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.50, 0.54, 2, sigma-NMD (TSVD init), 0.439280 ± 0.000031, 0.164807 ± 0.000046, 0.341784 ± 0.000034, 213.00 ± 5.333333
0.50, 0.54, 2, sigma-NMD (Random init), 0.439225 ± 0.000019, 0.164805 ± 0.000030, 0.341679 ± 0.000030, 208.00 ± 3.349959
0.50, 0.54, 2, eBCD-NMD (TSVD init), 0.462469 ± 0.000000, 0.166428 ± 0.000013, 0.342332 ± 0.000000, 13.00 ± 0.000000
0.50, 0.54, 2, eBCD-NMD (Random init), 0.639410 ± 0.000150, 0.435307 ± 0.000923, 0.478782 ± 0.000077, 18.00 ± 0.365148
0.50, 0.54, 2, TSVD, 0.459783 ± 0.000000, 0.167370 ± 0.000000, 0.344212 ± 0.000000, 30.00 ± 1.000000
0.50, 0.54, 5, sigma-NMD (TSVD init), 0.316521 ± 0.000222, 0.136677 ± 0.000339, 0.344436 ± 0.000475, 1709.00 ± 25.245462
0.50, 0.54, 5, sigma-NMD (Random init), 0.321325 ± 0.001223, 0.140979 ± 0.000779, 0.349356 ± 0.000945, 1689.00 ± 27.680719
0.50, 0.54, 5, eBCD-NMD (TSVD init), 0.399442 ± 0.000003, 0.131702 ± 0.000058, 0.310898 ± 0.000014, 16.00 ± 0.000000
0.50, 0.54, 5, eBCD-NMD (Random init), 0.605459 ± 0.000176, 0.415339 ± 0.000213, 0.474956 ± 0.000235, 30.30 ± 3.186953
0.50, 0.54, 5, TSVD, 0.398274 ± 0.000003, 0.131205 ± 0.000051, 0.313366 ± 0.000023, 98.00 ± 8.306624
0.50, 0.54, 10, sigma-NMD (TSVD init), 0.160983 ± 0.000374, 0.141251 ± 0.000398, 0.368540 ± 0.000526, 634.00 ± 5.972158
0.50, 0.54, 10, sigma-NMD (Random init), 0.176452 ± 0.001001, 0.145808 ± 0.000606, 0.374757 ± 0.000866, 624.00 ± 18.859127
0.50, 0.54, 10, eBCD-NMD (TSVD init), 0.347065 ± 0.000205, 0.117225 ± 0.000325, 0.300254 ± 0.000250, 18.30 ± 0.422953
0.50, 0.54, 10, eBCD-NMD (Random init), 0.574951 ± 0.000087, 0.422391 ± 0.000174, 0.497519 ± 0.000099, 28.40 ± 1.720465
0.50, 0.54, 10, TSVD, 0.346097 ± 0.000105, 0.117562 ± 0.000214, 0.306717 ± 0.000350, 443.00 ± 17.178798
