Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.15, 0.08, 2, TSVD, 0.825189, 0.075257, 0.246593, 73.00
0.15, 0.08, 2, sigma-NMD (TSVD init), 0.755216, 0.079855, 0.259255, 761.00
0.15, 0.08, 2, ReLU-NMD (TSVD init), 0.736699, 0.077435, 0.282458, 61.00
0.15, 0.08, 2, sigma-NMD (Random init), 0.759963, 0.079310, 0.257560, 702.00
0.15, 0.08, 2, ReLU-NMD (Random init), 0.738442, 0.081428, 0.412151, 162.00
0.15, 0.08, 2, NMF, 0.825227, 0.075620, 0.246684, 22.00
0.15, 0.08, 5, TSVD, 0.749831, 0.079431, 0.259589, 557.00
0.15, 0.08, 5, sigma-NMD (TSVD init), 0.312362, 0.101633, 0.317752, 2941.00
0.15, 0.08, 5, ReLU-NMD (TSVD init), 0.449730, 0.084694, 0.341916, 111.00
0.15, 0.08, 5, sigma-NMD (Random init), 0.377168, 0.101391, 0.313970, 2072.00
0.15, 0.08, 5, ReLU-NMD (Random init), 0.480595, 0.096915, 8097.149846, 282.00
0.15, 0.08, 5, NMF, 0.755142, 0.077798, 0.779805, 63.00
0.15, 0.08, 10, TSVD, 0.641546, 0.079250, 0.558327, 1371.00
0.15, 0.08, 10, sigma-NMD (TSVD init), 0.131402, 0.116152, 0.332611, 151.00
0.15, 0.08, 10, ReLU-NMD (TSVD init), 0.207263, 0.110708, 471465.033784, 51.00
0.15, 0.08, 10, sigma-NMD (Random init), 0.217002, 0.105687, 0.313929, 137.00
0.15, 0.08, 10, ReLU-NMD (Random init), 0.207548, 0.109014, 18976.521742, 51.00
0.15, 0.08, 10, NMF, 0.656780, 0.082517, 4.779908, 118.00
