Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.55, 0.08, 2, TSVD, 0.786822, 0.081709, 0.264830, 87.00
0.55, 0.08, 2, sigma-NMD (TSVD init), 0.652977, 0.093188, 0.296061, 1101.00
0.55, 0.08, 2, ReLU-NMD (TSVD init), 0.632868, 0.103579, 0.599936, 151.00
0.55, 0.08, 2, sigma-NMD (Random init), 0.670869, 0.091869, 0.291197, 982.00
0.55, 0.08, 2, ReLU-NMD (Random init), 0.693609, 0.105773, 900346.005299, 147.00
0.55, 0.08, 2, NMF, 0.786805, 0.081478, 0.264387, 30.00
0.55, 0.08, 5, TSVD, 0.624989, 0.107801, 1.460486, 1397.00
0.55, 0.08, 5, sigma-NMD (TSVD init), 0.165033, 0.143658, 0.371779, 311.00
0.55, 0.08, 5, ReLU-NMD (TSVD init), 0.229190, 0.135741, 19147.904330, 151.00
0.55, 0.08, 5, sigma-NMD (Random init), 0.248225, 0.129936, 0.351755, 250.00
0.55, 0.08, 5, ReLU-NMD (Random init), 0.343698, 0.137902, 428012.872903, 41.00
0.55, 0.08, 5, NMF, 0.645652, 0.105063, 42.301294, 157.00
0.55, 0.08, 10, TSVD, 0.394030, 0.156556, 3.329224, 5595.00
0.55, 0.08, 10, sigma-NMD (TSVD init), 0.000793, 0.169223, 0.395645, 121.00
0.55, 0.08, 10, ReLU-NMD (TSVD init), 0.057631, 0.168234, 439507.766430, 151.00
0.55, 0.08, 10, sigma-NMD (Random init), 0.119527, 0.122596, 0.334266, 83.00
0.55, 0.08, 10, ReLU-NMD (Random init), 0.188907, 0.153835, 1613139.053768, 33.00
0.55, 0.08, 10, NMF, 0.455433, 0.126752, 324.616808, 369.00
