Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.05, 0.36, 2, TSVD, 0.479258, 0.211765, 0.388947, 30.00
0.05, 0.36, 2, sigma-NMD (TSVD init), 0.364238, 0.317647, 0.448783, 991.00
0.05, 0.36, 2, ReLU-NMD (TSVD init), 0.462070, 0.235294, 0.565974, 31.00
0.05, 0.36, 2, sigma-NMD (Random init), 0.377962, 0.256471, 0.410044, 857.00
0.05, 0.36, 2, ReLU-NMD (Random init), 0.492688, 0.237647, 263.602532, 123.00
0.05, 0.36, 2, NMF, 0.483484, 0.210588, 0.385519, 34.00
0.05, 0.36, 5, TSVD, 0.296184, 0.129412, 0.349509, 221.00
0.05, 0.36, 5, sigma-NMD (TSVD init), 0.052344, 0.176471, 0.395234, 121.00
0.05, 0.36, 5, ReLU-NMD (TSVD init), 0.159082, 0.152941, 0.584559, 421.00
0.05, 0.36, 5, sigma-NMD (Random init), 0.101145, 0.148235, 0.370385, 118.00
0.05, 0.36, 5, ReLU-NMD (Random init), 0.195382, 0.174118, 1.446601, 846.00
0.05, 0.36, 5, NMF, 0.323628, 0.118824, 2.699617, 111.00
0.05, 0.36, 10, TSVD, 0.134405, 0.184706, 1.449749, 967.00
0.05, 0.36, 10, sigma-NMD (TSVD init), 0.000215, 0.188235, 0.409715, 81.00
0.05, 0.36, 10, ReLU-NMD (TSVD init), 0.000310, 0.200000, 1.934047, 10001.00
0.05, 0.36, 10, sigma-NMD (Random init), 0.029648, 0.164706, 0.372543, 72.00
0.05, 0.36, 10, ReLU-NMD (Random init), 0.079712, 0.168235, 2.475217, 231.00
0.05, 0.36, 10, NMF, 0.182770, 0.155294, 18.031351, 174.00
