Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.30, 0.29, 2, TSVD, 0.645647, 0.198464, 0.377827, 51.00
0.30, 0.29, 2, sigma-NMD (TSVD init), 0.594827, 0.200717, 0.394924, 591.00
0.30, 0.29, 2, ReLU-NMD (TSVD init), 0.644343, 0.199693, 0.376746, 11.00
0.30, 0.29, 2, sigma-NMD (Random init), 0.600361, 0.212647, 0.398668, 602.00
0.30, 0.29, 2, ReLU-NMD (Random init), 0.660222, 0.229595, 2.215774, 47.00
0.30, 0.29, 2, NMF, 0.648049, 0.201997, 0.377935, 51.00
0.30, 0.29, 5, TSVD, 0.515550, 0.190015, 0.396714, 348.00
0.30, 0.29, 5, sigma-NMD (TSVD init), 0.294441, 0.209933, 0.450784, 1761.00
0.30, 0.29, 5, ReLU-NMD (TSVD init), 0.415606, 0.195597, 1.046776, 1181.00
0.30, 0.29, 5, sigma-NMD (Random init), 0.310951, 0.223656, 0.463917, 2317.00
0.30, 0.29, 5, ReLU-NMD (Random init), 0.423952, 0.207885, 3570.737953, 744.00
0.30, 0.29, 5, NMF, 0.547229, 0.199027, 0.504471, 136.00
0.30, 0.29, 10, TSVD, 0.361808, 0.200205, 1.032358, 1416.00
0.30, 0.29, 10, sigma-NMD (TSVD init), 0.061640, 0.212494, 0.444950, 111.00
0.30, 0.29, 10, ReLU-NMD (TSVD init), 0.073136, 0.248848, 3.430329, 10001.00
0.30, 0.29, 10, sigma-NMD (Random init), 0.123428, 0.206964, 0.439222, 91.00
0.30, 0.29, 10, ReLU-NMD (Random init), 0.125821, 0.248285, 3.357675, 3607.00
0.30, 0.29, 10, NMF, 0.432430, 0.223246, 21.918066, 227.00
