Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.20, 0.14, 2, sigma-NMD (TSVD init), 0.772395 ± 0.000145, 0.124900 ± 0.000076, 0.306654 ± 0.000053, 311.00 ± 10.000000
0.20, 0.14, 2, sigma-NMD (Random init), 0.776805 ± 0.001816, 0.125833 ± 0.000914, 0.307956 ± 0.000452, 320.00 ± 21.105555
0.20, 0.14, 2, eBCD-NMD (TSVD init), 0.794477 ± 0.000001, 0.124787 ± 0.000035, 0.308544 ± 0.000007, 12.00 ± 0.000000
0.20, 0.14, 2, eBCD-NMD (Random init), 0.803520 ± 0.000099, 0.127947 ± 0.000051, 0.311745 ± 0.000058, 17.40 ± 0.718022
0.20, 0.14, 2, TSVD, 0.793381 ± 0.000001, 0.125601 ± 0.000040, 0.310015 ± 0.000002, 56.00 ± 4.533824
0.20, 0.14, 5, sigma-NMD (TSVD init), 0.607062 ± 0.001178, 0.101874 ± 0.000366, 0.288458 ± 0.000546, 1404.00 ± 25.993589
0.20, 0.14, 5, sigma-NMD (Random init), 0.603828 ± 0.000777, 0.102058 ± 0.000384, 0.287491 ± 0.000408, 1358.00 ± 34.866412
0.20, 0.14, 5, eBCD-NMD (TSVD init), 0.723502 ± 0.000199, 0.112433 ± 0.000239, 0.288736 ± 0.000235, 19.10 ± 2.035518
0.20, 0.14, 5, eBCD-NMD (Random init), 0.735320 ± 0.000047, 0.118408 ± 0.000053, 0.292314 ± 0.000025, 22.20 ± 1.380821
0.20, 0.14, 5, TSVD, 0.721468 ± 0.000415, 0.112954 ± 0.000193, 0.291690 ± 0.000082, 571.00 ± 20.055479
0.20, 0.14, 10, sigma-NMD (TSVD init), 0.434230 ± 0.000773, 0.111391 ± 0.000345, 0.326735 ± 0.000702, 2039.00 ± 71.783625
0.20, 0.14, 10, sigma-NMD (Random init), 0.441638 ± 0.000553, 0.113238 ± 0.000564, 0.326871 ± 0.000887, 2044.00 ± 24.039320
0.20, 0.14, 10, eBCD-NMD (TSVD init), 0.662438 ± 0.000084, 0.100884 ± 0.000173, 0.275059 ± 0.000100, 31.30 ± 3.774328
0.20, 0.14, 10, eBCD-NMD (Random init), 0.671994 ± 0.000015, 0.108300 ± 0.000136, 0.279565 ± 0.000048, 25.80 ± 1.518771
0.20, 0.14, 10, TSVD, 0.660596 ± 0.000056, 0.101178 ± 0.000198, 0.279241 ± 0.000080, 456.00 ± 12.133516
