Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.45, 0.08, 2, TSVD, 0.815705, 0.078391, 0.261962, 75.00
0.45, 0.08, 2, sigma-NMD (TSVD init), 0.720041, 0.082645, 0.272026, 851.00
0.45, 0.08, 2, ReLU-NMD (TSVD init), 0.705246, 0.095747, 0.327309, 121.00
0.45, 0.08, 2, sigma-NMD (Random init), 0.737355, 0.086172, 0.276270, 903.00
0.45, 0.08, 2, ReLU-NMD (Random init), 0.717744, 0.098387, 97760.654788, 147.00
0.45, 0.08, 2, NMF, 0.815777, 0.078613, 0.262227, 22.00
0.45, 0.08, 5, TSVD, 0.698309, 0.096331, 0.579147, 1090.00
0.45, 0.08, 5, sigma-NMD (TSVD init), 0.217145, 0.129813, 0.352304, 641.00
0.45, 0.08, 5, ReLU-NMD (TSVD init), 0.328809, 0.126587, 13176.791066, 151.00
0.45, 0.08, 5, sigma-NMD (Random init), 0.294480, 0.124834, 0.345858, 411.00
0.45, 0.08, 5, ReLU-NMD (Random init), 0.400201, 0.126466, 29833.011696, 50.00
0.45, 0.08, 5, NMF, 0.716167, 0.095021, 2.976937, 103.00
0.45, 0.08, 10, TSVD, 0.519826, 0.130175, 1.815379, 3210.00
0.45, 0.08, 10, sigma-NMD (TSVD init), 0.046282, 0.149567, 0.372494, 111.00
0.45, 0.08, 10, ReLU-NMD (TSVD init), 0.105303, 0.161459, 838127.256013, 71.00
0.45, 0.08, 10, sigma-NMD (Random init), 0.159180, 0.124350, 0.336264, 97.00
0.45, 0.08, 10, ReLU-NMD (Random init), 0.179563, 0.143741, 30265.511159, 38.00
0.45, 0.08, 10, NMF, 0.561106, 0.120742, 99.740569, 232.00
