Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.20, 0.29, 2, TSVD, 0.641651, 0.213057, 0.382075, 45.00
0.20, 0.29, 2, sigma-NMD (TSVD init), 0.593591, 0.207373, 0.387817, 681.00
0.20, 0.29, 2, ReLU-NMD (TSVD init), 0.632928, 0.209677, 0.432195, 41.00
0.20, 0.29, 2, sigma-NMD (Random init), 0.600625, 0.216283, 0.399509, 550.00
0.20, 0.29, 2, ReLU-NMD (Random init), 0.658175, 0.223425, 2.271946, 57.00
0.20, 0.29, 2, NMF, 0.643989, 0.212673, 0.381860, 50.00
0.20, 0.29, 5, TSVD, 0.521525, 0.186175, 0.395127, 272.00
0.20, 0.29, 5, sigma-NMD (TSVD init), 0.315803, 0.212750, 0.450599, 2401.00
0.20, 0.29, 5, ReLU-NMD (TSVD init), 0.432175, 0.204301, 0.874559, 711.00
0.20, 0.29, 5, sigma-NMD (Random init), 0.330064, 0.214516, 0.449481, 2346.00
0.20, 0.29, 5, ReLU-NMD (Random init), 0.439347, 0.198464, 158.984347, 565.00
0.20, 0.29, 5, NMF, 0.551148, 0.202688, 0.385131, 90.00
0.20, 0.29, 10, TSVD, 0.379830, 0.174654, 0.593253, 1300.00
0.20, 0.29, 10, sigma-NMD (TSVD init), 0.044516, 0.195084, 0.427263, 131.00
0.20, 0.29, 10, ReLU-NMD (TSVD init), 0.126347, 0.229647, 2.731266, 5341.00
0.20, 0.29, 10, sigma-NMD (Random init), 0.113776, 0.202765, 0.437061, 107.00
0.20, 0.29, 10, ReLU-NMD (Random init), 0.167145, 0.224808, 2.571689, 3173.00
0.20, 0.29, 10, NMF, 0.446266, 0.217665, 10.135724, 180.00
