Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.25, 0.08, 2, TSVD, 0.826925, 0.068795, 0.240839, 69.00
0.25, 0.08, 2, sigma-NMD (TSVD init), 0.757182, 0.072206, 0.246986, 741.00
0.25, 0.08, 2, ReLU-NMD (TSVD init), 0.707220, 0.082366, 0.275096, 121.00
0.25, 0.08, 2, sigma-NMD (Random init), 0.756054, 0.073549, 0.247899, 784.00
0.25, 0.08, 2, ReLU-NMD (Random init), 0.748395, 0.080406, 22.459926, 93.00
0.25, 0.08, 2, NMF, 0.826963, 0.068940, 0.240792, 21.00
0.25, 0.08, 5, TSVD, 0.746013, 0.071626, 0.258099, 719.00
0.25, 0.08, 5, sigma-NMD (TSVD init), 0.288538, 0.095428, 0.304395, 1491.00
0.25, 0.08, 5, ReLU-NMD (TSVD init), 0.346676, 0.099057, 1.040855, 3321.00
0.25, 0.08, 5, sigma-NMD (Random init), 0.344406, 0.103737, 0.316984, 1661.00
0.25, 0.08, 5, ReLU-NMD (Random init), 0.407884, 0.103120, 23.839455, 1987.00
0.25, 0.08, 5, NMF, 0.753489, 0.076052, 2.046994, 67.00
0.25, 0.08, 10, TSVD, 0.621462, 0.096662, 1.001836, 1769.00
0.25, 0.08, 10, sigma-NMD (TSVD init), 0.115903, 0.139695, 0.361722, 141.00
0.25, 0.08, 10, ReLU-NMD (TSVD init), 0.109287, 0.126633, 0.719550, 201.00
0.25, 0.08, 10, sigma-NMD (Random init), 0.194790, 0.116364, 0.328087, 120.00
0.25, 0.08, 10, ReLU-NMD (Random init), 0.200588, 0.119122, 973.917787, 105.00
0.25, 0.08, 10, NMF, 0.647126, 0.088244, 14.411957, 158.00
