Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.45, 0.30, 2, TSVD, 0.634489, 0.225392, 0.403425, 57.00
0.45, 0.30, 2, sigma-NMD (TSVD init), 0.573096, 0.227986, 0.425139, 621.00
0.45, 0.30, 2, ReLU-NMD (TSVD init), 0.632030, 0.226962, 0.401276, 11.00
0.45, 0.30, 2, sigma-NMD (Random init), 0.582468, 0.230341, 0.423976, 644.00
0.45, 0.30, 2, ReLU-NMD (Random init), 0.651998, 0.252457, 3199.628672, 57.00
0.45, 0.30, 2, NMF, 0.637571, 0.219556, 0.397885, 57.00
0.45, 0.30, 5, TSVD, 0.485598, 0.211433, 0.502408, 490.00
0.45, 0.30, 5, sigma-NMD (TSVD init), 0.214698, 0.249829, 0.492789, 2011.00
0.45, 0.30, 5, ReLU-NMD (TSVD init), 0.369777, 0.227304, 34820.513574, 221.00
0.45, 0.30, 5, sigma-NMD (Random init), 0.247986, 0.247543, 0.491189, 1917.00
0.45, 0.30, 5, ReLU-NMD (Random init), 0.413790, 0.244881, 206062.833950, 50.00
0.45, 0.30, 5, NMF, 0.521978, 0.226962, 3.562271, 136.00
0.45, 0.30, 10, TSVD, 0.278380, 0.243754, 1.780405, 2152.00
0.45, 0.30, 10, sigma-NMD (TSVD init), 0.031360, 0.241297, 0.471548, 101.00
0.45, 0.30, 10, ReLU-NMD (TSVD init), 0.073634, 0.265870, 286874.225263, 101.00
0.45, 0.30, 10, sigma-NMD (Random init), 0.079892, 0.229625, 0.460736, 84.00
0.45, 0.30, 10, ReLU-NMD (Random init), 0.172225, 0.266109, 158293.259058, 36.00
0.45, 0.30, 10, NMF, 0.372173, 0.254471, 91.630247, 281.00
