Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.40, 0.29, 2, TSVD, 0.635673, 0.210561, 0.388478, 68.00
0.40, 0.29, 2, sigma-NMD (TSVD init), 0.592315, 0.235407, 0.412801, 511.00
0.40, 0.29, 2, ReLU-NMD (TSVD init), 0.628017, 0.212750, 0.430003, 31.00
0.40, 0.29, 2, sigma-NMD (Random init), 0.588040, 0.221160, 0.414874, 611.00
0.40, 0.29, 2, ReLU-NMD (Random init), 0.647517, 0.240822, 313.715201, 60.00
0.40, 0.29, 2, NMF, 0.639094, 0.211982, 0.387453, 56.00
0.40, 0.29, 5, TSVD, 0.497673, 0.200614, 0.496526, 418.00
0.40, 0.29, 5, sigma-NMD (TSVD init), 0.251379, 0.237327, 0.480656, 2361.00
0.40, 0.29, 5, ReLU-NMD (TSVD init), 0.389248, 0.225038, 110232.415790, 221.00
0.40, 0.29, 5, sigma-NMD (Random init), 0.270004, 0.234217, 0.476632, 2204.00
0.40, 0.29, 5, ReLU-NMD (Random init), 0.435257, 0.221083, 182071.846362, 51.00
0.40, 0.29, 5, NMF, 0.530990, 0.212750, 48.292590, 152.00
0.40, 0.29, 10, TSVD, 0.306643, 0.227535, 1.940974, 2090.00
0.40, 0.29, 10, sigma-NMD (TSVD init), 0.041998, 0.223502, 0.456377, 101.00
0.40, 0.29, 10, ReLU-NMD (TSVD init), 0.105155, 0.218126, 1169203.859998, 61.00
0.40, 0.29, 10, sigma-NMD (Random init), 0.088674, 0.215899, 0.449166, 87.00
0.40, 0.29, 10, ReLU-NMD (Random init), 0.158704, 0.248963, 51209.277417, 52.00
0.40, 0.29, 10, NMF, 0.392975, 0.250000, 162.940025, 294.00
