Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.10, 0.25, 2, TSVD, 0.641411, 0.216129, 0.378371, 56.00
0.10, 0.25, 2, sigma-NMD (TSVD init), 0.604171, 0.210445, 0.378788, 541.00
0.10, 0.25, 2, ReLU-NMD (TSVD init), 0.631076, 0.216590, 0.383399, 41.00
0.10, 0.25, 2, sigma-NMD (Random init), 0.600537, 0.215054, 0.389001, 572.00
0.10, 0.25, 2, ReLU-NMD (Random init), 0.656270, 0.219969, 0.430989, 63.00
0.10, 0.25, 2, NMF, 0.643476, 0.215207, 0.380124, 46.00
0.10, 0.25, 5, TSVD, 0.528211, 0.187711, 0.377328, 364.00
0.10, 0.25, 5, sigma-NMD (TSVD init), 0.338386, 0.165899, 0.394023, 2101.00
0.10, 0.25, 5, ReLU-NMD (TSVD init), 0.444215, 0.193548, 0.479026, 931.00
0.10, 0.25, 5, sigma-NMD (Random init), 0.344095, 0.185561, 0.419607, 2279.00
0.10, 0.25, 5, ReLU-NMD (Random init), 0.457844, 0.194470, 0.801808, 461.00
0.10, 0.25, 5, NMF, 0.553855, 0.200461, 0.687401, 87.00
0.10, 0.25, 10, TSVD, 0.398067, 0.152995, 0.378073, 862.00
0.10, 0.25, 10, sigma-NMD (TSVD init), 0.096395, 0.175115, 0.406608, 141.00
0.10, 0.25, 10, ReLU-NMD (TSVD init), 0.170762, 0.190476, 3.577355, 5051.00
0.10, 0.25, 10, sigma-NMD (Random init), 0.132563, 0.172657, 0.404440, 119.00
0.10, 0.25, 10, ReLU-NMD (Random init), 0.216495, 0.192934, 1.638041, 2121.00
0.10, 0.25, 10, NMF, 0.462727, 0.194009, 12.242936, 138.00
