Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.55, 0.29, 2, TSVD, 0.611712, 0.221977, 0.404445, 64.00
0.55, 0.29, 2, sigma-NMD (TSVD init), 0.545323, 0.226473, 0.433787, 751.00
0.55, 0.29, 2, ReLU-NMD (TSVD init), 0.606135, 0.222564, 0.395996, 11.00
0.55, 0.29, 2, sigma-NMD (Random init), 0.561413, 0.240771, 0.441871, 743.00
0.55, 0.29, 2, ReLU-NMD (Random init), 0.631298, 0.253644, 61875.928905, 48.00
0.55, 0.29, 2, NMF, 0.613803, 0.221167, 0.399197, 49.00
0.55, 0.29, 5, TSVD, 0.445738, 0.225468, 0.775723, 432.00
0.55, 0.29, 5, sigma-NMD (TSVD init), 0.176831, 0.241273, 0.485200, 821.00
0.55, 0.29, 5, ReLU-NMD (TSVD init), 0.334870, 0.240436, 445523.721543, 71.00
0.55, 0.29, 5, sigma-NMD (Random init), 0.208939, 0.257805, 0.502530, 1070.00
0.55, 0.29, 5, ReLU-NMD (Random init), 0.373415, 0.261715, 1396632.590532, 56.00
0.55, 0.29, 5, NMF, 0.488414, 0.237336, 18.847797, 153.00
0.55, 0.29, 10, TSVD, 0.203775, 0.282323, 2.578972, 3262.00
0.55, 0.29, 10, sigma-NMD (TSVD init), 0.000408, 0.248534, 0.482995, 91.00
0.55, 0.29, 10, ReLU-NMD (TSVD init), 0.000100, 0.271433, 2.502693, 1553.00
0.55, 0.29, 10, sigma-NMD (Random init), 0.069382, 0.246021, 0.474862, 77.00
0.55, 0.29, 10, ReLU-NMD (Random init), 0.139907, 0.273471, 194427.269237, 39.00
0.55, 0.29, 10, NMF, 0.317455, 0.282491, 308.840575, 398.00
