Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.40, 0.42, 2, TSVD, 0.461989, 0.198251, 0.390587, 32.00
0.40, 0.42, 2, sigma-NMD (TSVD init), 0.357746, 0.202624, 0.396925, 911.00
0.40, 0.42, 2, ReLU-NMD (TSVD init), 0.458361, 0.198251, 0.383930, 11.00
0.40, 0.42, 2, sigma-NMD (Random init), 0.371126, 0.217055, 0.411257, 815.00
0.40, 0.42, 2, ReLU-NMD (Random init), 0.591937, 0.314723, 1469860.887001, 130.00
0.40, 0.42, 2, NMF, 0.469188, 0.204373, 0.378662, 31.00
0.40, 0.42, 5, TSVD, 0.244854, 0.185423, 1.080452, 484.00
0.40, 0.42, 5, sigma-NMD (TSVD init), 0.000387, 0.169096, 0.386174, 101.00
0.40, 0.42, 5, ReLU-NMD (TSVD init), 0.163203, 0.218659, 1.156753, 31.00
0.40, 0.42, 5, sigma-NMD (Random init), 0.048426, 0.214140, 0.442036, 123.00
0.40, 0.42, 5, ReLU-NMD (Random init), 0.178688, 0.228134, 120.235690, 307.00
0.40, 0.42, 5, NMF, 0.296073, 0.179738, 16.066925, 162.00
0.40, 0.42, 10, TSVD, 0.008038, 0.270991, 2.529095, 10001.00
0.40, 0.42, 10, sigma-NMD (TSVD init), 0.000258, 0.220117, 0.444110, 81.00
0.40, 0.42, 10, ReLU-NMD (TSVD init), 0.000148, 0.276968, 2.025671, 10001.00
0.40, 0.42, 10, sigma-NMD (Random init), 0.008216, 0.183528, 0.396252, 74.00
0.40, 0.42, 10, ReLU-NMD (Random init), 0.091165, 0.296501, 13.719285, 105.00
0.40, 0.42, 10, NMF, 0.096973, 0.272449, 162.718560, 845.00
