Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.15, 0.30, 2, TSVD, 0.647022, 0.183504, 0.374761, 56.00
0.15, 0.30, 2, sigma-NMD (TSVD init), 0.608604, 0.200820, 0.374530, 521.00
0.15, 0.30, 2, ReLU-NMD (TSVD init), 0.637577, 0.202869, 0.387259, 41.00
0.15, 0.30, 2, sigma-NMD (Random init), 0.611089, 0.209939, 0.392986, 503.00
0.15, 0.30, 2, ReLU-NMD (Random init), 0.659985, 0.217930, 17.921363, 62.00
0.15, 0.30, 2, NMF, 0.649430, 0.184221, 0.374619, 66.00
0.15, 0.30, 5, TSVD, 0.531183, 0.177254, 0.374026, 418.00
0.15, 0.30, 5, sigma-NMD (TSVD init), 0.333539, 0.185451, 0.422305, 2211.00
0.15, 0.30, 5, ReLU-NMD (TSVD init), 0.454353, 0.185451, 0.600725, 1081.00
0.15, 0.30, 5, sigma-NMD (Random init), 0.348150, 0.191393, 0.423641, 2253.00
0.15, 0.30, 5, ReLU-NMD (Random init), 0.478193, 0.189652, 35503.515974, 178.00
0.15, 0.30, 5, NMF, 0.555945, 0.193238, 0.380261, 90.00
0.15, 0.30, 10, TSVD, 0.392983, 0.148873, 0.376914, 1018.00
0.15, 0.30, 10, sigma-NMD (TSVD init), 0.090225, 0.171107, 0.401537, 121.00
0.15, 0.30, 10, ReLU-NMD (TSVD init), 0.161920, 0.186475, 1.944065, 4801.00
0.15, 0.30, 10, sigma-NMD (Random init), 0.128220, 0.172541, 0.401845, 117.00
0.15, 0.30, 10, ReLU-NMD (Random init), 0.218529, 0.194160, 488215.331582, 2239.00
0.15, 0.30, 10, NMF, 0.460870, 0.189652, 2.640966, 115.00
