Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.30, 0.33, 2, TSVD, 0.620699, 0.251910, 0.426235, 55.00
0.30, 0.33, 2, sigma-NMD (TSVD init), 0.569978, 0.266750, 0.441611, 491.00
0.30, 0.33, 2, ReLU-NMD (TSVD init), 0.619157, 0.246713, 0.423558, 11.00
0.30, 0.33, 2, sigma-NMD (Random init), 0.577568, 0.293049, 0.457851, 582.00
0.30, 0.33, 2, ReLU-NMD (Random init), 0.818660, 0.338823, 21.529514, 22.00
0.30, 0.33, 2, NMF, 0.622687, 0.252411, 0.425636, 58.00
0.30, 0.33, 5, TSVD, 0.456636, 0.221979, 0.559323, 259.00
0.30, 0.33, 5, sigma-NMD (TSVD init), 0.214449, 0.249217, 0.489738, 2051.00
0.30, 0.33, 5, ReLU-NMD (TSVD init), 0.438879, 0.234189, 0.625656, 31.00
0.30, 0.33, 5, sigma-NMD (Random init), 0.244555, 0.275830, 0.516637, 2302.00
0.30, 0.33, 5, ReLU-NMD (Random init), 0.581977, 0.300376, 21104093.900218, 1025.00
0.30, 0.33, 5, NMF, 0.470144, 0.229430, 5.563213, 77.00
0.30, 0.33, 10, TSVD, 0.255475, 0.278898, 1.967465, 1575.00
0.30, 0.33, 10, sigma-NMD (TSVD init), 0.000287, 0.281152, 0.512084, 111.00
0.30, 0.33, 10, ReLU-NMD (TSVD init), 0.199633, 0.280526, 8439.693195, 31.00
0.30, 0.33, 10, sigma-NMD (Random init), 0.084885, 0.282843, 0.511711, 79.00
0.30, 0.33, 10, ReLU-NMD (Random init), 0.375408, 0.286475, 20017045.394786, 24.00
0.30, 0.33, 10, NMF, 0.310441, 0.268003, 141.605671, 232.00
