Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.35, 0.29, 2, TSVD, 0.635806, 0.211365, 0.391309, 62.00
0.35, 0.29, 2, sigma-NMD (TSVD init), 0.577547, 0.203598, 0.406455, 781.00
0.35, 0.29, 2, ReLU-NMD (TSVD init), 0.632267, 0.222905, 0.431279, 21.00
0.35, 0.29, 2, sigma-NMD (Random init), 0.588202, 0.213076, 0.408290, 603.00
0.35, 0.29, 2, ReLU-NMD (Random init), 0.641511, 0.234094, 1394.658177, 64.00
0.35, 0.29, 2, NMF, 0.638785, 0.211057, 0.387490, 44.00
0.35, 0.29, 5, TSVD, 0.507504, 0.196753, 0.436112, 327.00
0.35, 0.29, 5, sigma-NMD (TSVD init), 0.270001, 0.222466, 0.464225, 1911.00
0.35, 0.29, 5, ReLU-NMD (TSVD init), 0.402887, 0.227293, 3.677628, 801.00
0.35, 0.29, 5, sigma-NMD (Random init), 0.286670, 0.225845, 0.466983, 2342.00
0.35, 0.29, 5, ReLU-NMD (Random init), 0.411992, 0.230320, 6800.366939, 849.00
0.35, 0.29, 5, NMF, 0.539457, 0.199342, 0.708901, 106.00
0.35, 0.29, 10, TSVD, 0.334434, 0.212505, 1.112531, 1340.00
0.35, 0.29, 10, sigma-NMD (TSVD init), 0.000404, 0.221588, 0.457773, 131.00
0.35, 0.29, 10, ReLU-NMD (TSVD init), 0.044750, 0.243089, 3.238320, 8511.00
0.35, 0.29, 10, sigma-NMD (Random init), 0.115769, 0.215533, 0.449049, 91.00
0.35, 0.29, 10, ReLU-NMD (Random init), 0.134008, 0.254892, 1130.679958, 2053.00
0.35, 0.29, 10, NMF, 0.416961, 0.234489, 24.533823, 229.00
