Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.40, 0.08, 2, TSVD, 0.810585, 0.079388, 0.259735, 76.00
0.40, 0.08, 2, sigma-NMD (TSVD init), 0.719432, 0.088662, 0.278001, 841.00
0.40, 0.08, 2, ReLU-NMD (TSVD init), 0.711006, 0.093424, 0.286494, 71.00
0.40, 0.08, 2, sigma-NMD (Random init), 0.735896, 0.089229, 0.279065, 845.00
0.40, 0.08, 2, ReLU-NMD (Random init), 0.716848, 0.096599, 3.822092, 119.00
0.40, 0.08, 2, NMF, 0.810615, 0.079365, 0.259756, 21.00
0.40, 0.08, 5, TSVD, 0.708476, 0.093424, 0.396515, 859.00
0.40, 0.08, 5, sigma-NMD (TSVD init), 0.240326, 0.120181, 0.340965, 581.00
0.40, 0.08, 5, ReLU-NMD (TSVD init), 0.348340, 0.111111, 25.643832, 121.00
0.40, 0.08, 5, sigma-NMD (Random init), 0.281716, 0.120680, 0.340522, 578.00
0.40, 0.08, 5, ReLU-NMD (Random init), 0.416963, 0.121519, 62650.490642, 51.00
0.40, 0.08, 5, NMF, 0.719233, 0.093764, 8.062950, 99.00
0.40, 0.08, 10, TSVD, 0.546875, 0.118277, 1.332104, 2443.00
0.40, 0.08, 10, sigma-NMD (TSVD init), 0.043860, 0.137415, 0.360797, 121.00
0.40, 0.08, 10, ReLU-NMD (TSVD init), 0.117414, 0.143084, 168549.143237, 71.00
0.40, 0.08, 10, sigma-NMD (Random init), 0.167721, 0.118254, 0.329645, 89.00
0.40, 0.08, 10, ReLU-NMD (Random init), 0.204942, 0.135238, 48602.369333, 38.00
0.40, 0.08, 10, NMF, 0.587317, 0.108934, 33.510052, 178.00
