Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.20, 0.38, 2, TSVD, 0.467135, 0.160350, 0.377997, 30.00
0.20, 0.38, 2, sigma-NMD (TSVD init), 0.359018, 0.239067, 0.419858, 1021.00
0.20, 0.38, 2, ReLU-NMD (TSVD init), 0.464563, 0.163265, 0.377056, 11.00
0.20, 0.38, 2, sigma-NMD (Random init), 0.356227, 0.219242, 0.405979, 892.00
0.20, 0.38, 2, ReLU-NMD (Random init), 0.561919, 0.273761, 719.622740, 71.00
0.20, 0.38, 2, NMF, 0.471377, 0.174927, 0.378519, 33.00
0.20, 0.38, 5, TSVD, 0.271316, 0.125073, 0.365662, 232.00
0.20, 0.38, 5, sigma-NMD (TSVD init), 0.039843, 0.151603, 0.369149, 111.00
0.20, 0.38, 5, ReLU-NMD (TSVD init), 0.154283, 0.157434, 0.637936, 171.00
0.20, 0.38, 5, sigma-NMD (Random init), 0.077877, 0.167055, 0.388697, 96.00
0.20, 0.38, 5, ReLU-NMD (Random init), 0.174448, 0.172012, 6.769894, 382.00
0.20, 0.38, 5, NMF, 0.306725, 0.133236, 4.631370, 136.00
0.20, 0.38, 10, TSVD, 0.080646, 0.195335, 2.289255, 2699.00
0.20, 0.38, 10, sigma-NMD (TSVD init), 0.000232, 0.177843, 0.409059, 91.00
0.20, 0.38, 10, ReLU-NMD (TSVD init), 0.000752, 0.183673, 2.616896, 10001.00
0.20, 0.38, 10, sigma-NMD (Random init), 0.016070, 0.165306, 0.378103, 71.00
0.20, 0.38, 10, ReLU-NMD (Random init), 0.076350, 0.207872, 27.197965, 186.00
0.20, 0.38, 10, NMF, 0.136738, 0.197376, 49.238079, 342.00
