Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.55, 0.34, 2, TSVD, 0.591970, 0.261612, 0.492664, 61.00
0.55, 0.34, 2, sigma-NMD (TSVD init), 0.507874, 0.293033, 0.487089, 681.00
0.55, 0.34, 2, ReLU-NMD (TSVD init), 0.589849, 0.260929, 0.471447, 11.00
0.55, 0.34, 2, sigma-NMD (Random init), 0.533038, 0.328689, 0.504700, 818.00
0.55, 0.34, 2, ReLU-NMD (Random init), 0.671543, 0.316837, 1.217719, 211.00
0.55, 0.34, 2, NMF, 0.595564, 0.265574, 0.530279, 47.00
0.55, 0.34, 5, TSVD, 0.357344, 0.277698, 2.299897, 858.00
0.55, 0.34, 5, sigma-NMD (TSVD init), 0.105302, 0.351776, 0.585033, 791.00
0.55, 0.34, 5, ReLU-NMD (TSVD init), 0.337307, 0.287227, 33778069.388414, 31.00
0.55, 0.34, 5, sigma-NMD (Random init), 0.161956, 0.338695, 0.573976, 703.00
0.55, 0.34, 5, ReLU-NMD (Random init), 0.520521, 0.332684, 4144870188.122029, 1025.00
0.55, 0.34, 5, NMF, 0.398315, 0.273770, 70.938857, 186.00
0.55, 0.34, 10, TSVD, 0.050670, 0.403347, 3.253214, 9883.00
0.55, 0.34, 10, sigma-NMD (TSVD init), 0.000340, 0.359290, 0.578423, 91.00
0.55, 0.34, 10, ReLU-NMD (TSVD init), 0.047993, 0.411885, 2.937229, 11.00
0.55, 0.34, 10, sigma-NMD (Random init), 0.043566, 0.314652, 0.533296, 73.00
0.55, 0.34, 10, ReLU-NMD (Random init), 0.355684, 0.345355, 1972176756.104699, 28.00
0.55, 0.34, 10, NMF, 0.186075, 0.329372, 439.401497, 726.00
