Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.40, 0.15, 2, sigma-NMD (TSVD init), 0.774708 ± 0.000070, 0.122965 ± 0.000234, 0.307179 ± 0.000031, 301.00 ± 4.944132
0.40, 0.15, 2, sigma-NMD (Random init), 0.778403 ± 0.001856, 0.124909 ± 0.001318, 0.307746 ± 0.000747, 357.00 ± 26.882460
0.40, 0.15, 2, eBCD-NMD (TSVD init), 0.793207 ± 0.000001, 0.125968 ± 0.000008, 0.311183 ± 0.000004, 12.00 ± 0.000000
0.40, 0.15, 2, eBCD-NMD (Random init), 0.827832 ± 0.000125, 0.139377 ± 0.000107, 0.323981 ± 0.000043, 18.40 ± 0.498888
0.40, 0.15, 2, TSVD, 0.794272 ± 0.000001, 0.125434 ± 0.000031, 0.310705 ± 0.000003, 58.00 ± 2.603417
0.40, 0.15, 5, sigma-NMD (TSVD init), 0.592621 ± 0.000872, 0.110579 ± 0.000371, 0.306897 ± 0.000464, 1583.00 ± 24.711671
0.40, 0.15, 5, sigma-NMD (Random init), 0.587436 ± 0.001589, 0.109298 ± 0.000346, 0.302638 ± 0.000503, 1581.00 ± 22.558566
0.40, 0.15, 5, eBCD-NMD (TSVD init), 0.720466 ± 0.000489, 0.115002 ± 0.000231, 0.292289 ± 0.000155, 18.20 ± 1.569147
0.40, 0.15, 5, eBCD-NMD (Random init), 0.767877 ± 0.000006, 0.134909 ± 0.000064, 0.308891 ± 0.000027, 22.80 ± 1.331666
0.40, 0.15, 5, TSVD, 0.719376 ± 0.000314, 0.113610 ± 0.000097, 0.293207 ± 0.000134, 545.00 ± 20.341528
0.40, 0.15, 10, sigma-NMD (TSVD init), 0.381211 ± 0.000927, 0.123941 ± 0.000465, 0.346462 ± 0.000762, 1259.00 ± 52.679323
0.40, 0.15, 10, sigma-NMD (Random init), 0.393613 ± 0.000839, 0.127680 ± 0.000678, 0.351670 ± 0.000913, 1710.00 ± 85.835113
0.40, 0.15, 10, eBCD-NMD (TSVD init), 0.652959 ± 0.000135, 0.103058 ± 0.000154, 0.280233 ± 0.000095, 20.10 ± 1.037625
0.40, 0.15, 10, eBCD-NMD (Random init), 0.711327 ± 0.000115, 0.132959 ± 0.000081, 0.304295 ± 0.000142, 25.10 ± 2.177919
0.40, 0.15, 10, TSVD, 0.652825 ± 0.000132, 0.104080 ± 0.000166, 0.284422 ± 0.000095, 495.00 ± 10.349450
