Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.30, 0.09, 2, TSVD, 0.820168, 0.080345, 0.258549, 78.00
0.30, 0.09, 2, sigma-NMD (TSVD init), 0.726248, 0.087693, 0.279095, 851.00
0.30, 0.09, 2, ReLU-NMD (TSVD init), 0.712802, 0.089205, 0.300440, 131.00
0.30, 0.09, 2, sigma-NMD (Random init), 0.725600, 0.088298, 0.280291, 819.00
0.30, 0.09, 2, ReLU-NMD (Random init), 0.735462, 0.094255, 10.438300, 137.00
0.30, 0.09, 2, NMF, 0.820219, 0.080133, 0.258567, 21.00
0.30, 0.09, 5, TSVD, 0.728502, 0.091715, 0.299135, 574.00
0.30, 0.09, 5, sigma-NMD (TSVD init), 0.294080, 0.120048, 0.341349, 1011.00
0.30, 0.09, 5, ReLU-NMD (TSVD init), 0.292833, 0.111884, 0.963384, 4371.00
0.30, 0.09, 5, sigma-NMD (Random init), 0.330648, 0.118718, 0.339535, 1233.00
0.30, 0.09, 5, ReLU-NMD (Random init), 0.397351, 0.115603, 6386.060141, 1145.00
0.30, 0.09, 5, NMF, 0.735662, 0.093438, 1.217636, 67.00
0.30, 0.09, 10, TSVD, 0.585170, 0.114968, 1.382065, 2209.00
0.30, 0.09, 10, sigma-NMD (TSVD init), 0.081997, 0.148775, 0.369827, 131.00
0.30, 0.09, 10, ReLU-NMD (TSVD init), 0.115978, 0.148775, 1.556456, 211.00
0.30, 0.09, 10, sigma-NMD (Random init), 0.194619, 0.126399, 0.341688, 105.00
0.30, 0.09, 10, ReLU-NMD (Random init), 0.203512, 0.133263, 28875.145052, 62.00
0.30, 0.09, 10, NMF, 0.620589, 0.106048, 24.991887, 150.00
