Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.10, 0.35, 2, TSVD, 0.633430, 0.252444, 0.423440, 39.00
0.10, 0.35, 2, sigma-NMD (TSVD init), 0.581765, 0.274436, 0.458185, 611.00
0.10, 0.35, 2, ReLU-NMD (TSVD init), 0.632129, 0.251880, 0.419294, 11.00
0.10, 0.35, 2, sigma-NMD (Random init), 0.600674, 0.282143, 0.444610, 561.00
0.10, 0.35, 2, ReLU-NMD (Random init), 0.708114, 0.299436, 2.148558, 85.00
0.10, 0.35, 2, NMF, 0.634979, 0.252444, 0.419953, 37.00
0.10, 0.35, 5, TSVD, 0.486299, 0.209023, 0.421548, 262.00
0.10, 0.35, 5, sigma-NMD (TSVD init), 0.279500, 0.227444, 0.474036, 2401.00
0.10, 0.35, 5, ReLU-NMD (TSVD init), 0.461230, 0.201128, 0.418795, 21.00
0.10, 0.35, 5, sigma-NMD (Random init), 0.292131, 0.250000, 0.487996, 2281.00
0.10, 0.35, 5, ReLU-NMD (Random init), 0.539227, 0.239662, 157743.758176, 27.00
0.10, 0.35, 5, NMF, 0.497883, 0.211090, 0.724579, 56.00
0.10, 0.35, 10, TSVD, 0.336302, 0.231015, 1.113091, 892.00
0.10, 0.35, 10, sigma-NMD (TSVD init), 0.065214, 0.296992, 0.526342, 111.00
0.10, 0.35, 10, ReLU-NMD (TSVD init), 0.282937, 0.218045, 1017324.182308, 21.00
0.10, 0.35, 10, sigma-NMD (Random init), 0.106547, 0.270677, 0.504371, 99.00
0.10, 0.35, 10, ReLU-NMD (Random init), 0.355333, 0.256203, 3657945.967230, 24.00
0.10, 0.35, 10, NMF, 0.358957, 0.225188, 18.869052, 130.00
