Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.40, 0.54, 2, sigma-NMD (TSVD init), 0.441655 ± 0.000040, 0.163527 ± 0.000048, 0.341160 ± 0.000066, 221.00 ± 7.745967
0.40, 0.54, 2, sigma-NMD (Random init), 0.441639 ± 0.000028, 0.163444 ± 0.000041, 0.341025 ± 0.000052, 234.00 ± 6.333333
0.40, 0.54, 2, eBCD-NMD (TSVD init), 0.459847 ± 0.000000, 0.166859 ± 0.000016, 0.342948 ± 0.000000, 12.00 ± 0.000000
0.40, 0.54, 2, eBCD-NMD (Random init), 0.578741 ± 0.000156, 0.291140 ± 0.000388, 0.433885 ± 0.000110, 18.40 ± 0.163299
0.40, 0.54, 2, TSVD, 0.460507 ± 0.000000, 0.167674 ± 0.000013, 0.343994 ± 0.000000, 27.00 ± 2.211083
0.40, 0.54, 5, sigma-NMD (TSVD init), 0.326368 ± 0.000080, 0.134538 ± 0.000154, 0.338045 ± 0.000227, 1481.00 ± 11.450376
0.40, 0.54, 5, sigma-NMD (Random init), 0.330332 ± 0.000824, 0.136658 ± 0.000754, 0.340697 ± 0.000932, 1481.00 ± 19.944367
0.40, 0.54, 5, eBCD-NMD (TSVD init), 0.398316 ± 0.000001, 0.130391 ± 0.000074, 0.310546 ± 0.000012, 15.00 ± 0.000000
0.40, 0.54, 5, eBCD-NMD (Random init), 0.539210 ± 0.000006, 0.278572 ± 0.000173, 0.421034 ± 0.000027, 22.10 ± 1.573743
0.40, 0.54, 5, TSVD, 0.398954 ± 0.000002, 0.130941 ± 0.000090, 0.313098 ± 0.000008, 92.00 ± 6.904105
0.40, 0.54, 10, sigma-NMD (TSVD init), 0.179791 ± 0.000355, 0.131765 ± 0.000371, 0.356557 ± 0.000483, 941.00 ± 13.984118
0.40, 0.54, 10, sigma-NMD (Random init), 0.188689 ± 0.000487, 0.136008 ± 0.000619, 0.362501 ± 0.000839, 862.00 ± 9.000000
0.40, 0.54, 10, eBCD-NMD (TSVD init), 0.350320 ± 0.000093, 0.114503 ± 0.000320, 0.295353 ± 0.000222, 27.00 ± 1.308094
0.40, 0.54, 10, eBCD-NMD (Random init), 0.511381 ± 0.000043, 0.320756 ± 0.000138, 0.440888 ± 0.000105, 34.10 ± 4.960847
0.40, 0.54, 10, TSVD, 0.350739 ± 0.000028, 0.114184 ± 0.000215, 0.298938 ± 0.000077, 420.00 ± 18.101565
