Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.15, 0.34, 2, TSVD, 0.629989, 0.261028, 0.425982, 48.00
0.15, 0.34, 2, sigma-NMD (TSVD init), 0.581277, 0.275689, 0.448659, 651.00
0.15, 0.34, 2, ReLU-NMD (TSVD init), 0.628542, 0.260652, 0.423864, 11.00
0.15, 0.34, 2, sigma-NMD (Random init), 0.595906, 0.284085, 0.448112, 584.00
0.15, 0.34, 2, ReLU-NMD (Random init), 0.659305, 0.284085, 91.459256, 118.00
0.15, 0.34, 2, NMF, 0.631806, 0.258772, 0.425578, 39.00
0.15, 0.34, 5, TSVD, 0.482584, 0.201253, 0.442075, 227.00
0.15, 0.34, 5, sigma-NMD (TSVD init), 0.264060, 0.243108, 0.485865, 2281.00
0.15, 0.34, 5, ReLU-NMD (TSVD init), 0.473669, 0.209273, 1838534.943959, 21.00
0.15, 0.34, 5, sigma-NMD (Random init), 0.278759, 0.251378, 0.491280, 2433.00
0.15, 0.34, 5, ReLU-NMD (Random init), 0.556061, 0.270301, 1497374.772754, 1022.00
0.15, 0.34, 5, NMF, 0.492558, 0.205013, 0.457637, 43.00
0.15, 0.34, 10, TSVD, 0.324312, 0.246617, 0.809681, 923.00
0.15, 0.34, 10, sigma-NMD (TSVD init), 0.067052, 0.273183, 0.507619, 101.00
0.15, 0.34, 10, ReLU-NMD (TSVD init), 0.263563, 0.235589, 0.635972, 21.00
0.15, 0.34, 10, sigma-NMD (Random init), 0.098874, 0.281830, 0.513712, 91.00
0.15, 0.34, 10, ReLU-NMD (Random init), 0.349741, 0.264912, 5159605.117054, 25.00
0.15, 0.34, 10, NMF, 0.349929, 0.232080, 28.452882, 123.00
