Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.25, 0.47, 2, TSVD, 0.472866, 0.200000, 0.389844, 32.00
0.25, 0.47, 2, sigma-NMD (TSVD init), 0.347955, 0.221445, 0.407355, 1191.00
0.25, 0.47, 2, ReLU-NMD (TSVD init), 0.444078, 0.177156, 0.466001, 41.00
0.25, 0.47, 2, sigma-NMD (Random init), 0.361292, 0.205828, 0.396453, 1006.00
0.25, 0.47, 2, ReLU-NMD (Random init), 0.536434, 0.265734, 21.674975, 82.00
0.25, 0.47, 2, NMF, 0.477487, 0.206993, 0.386031, 36.00
0.25, 0.47, 5, TSVD, 0.269121, 0.163869, 0.396735, 237.00
0.25, 0.47, 5, sigma-NMD (TSVD init), 0.000363, 0.156177, 0.386552, 101.00
0.25, 0.47, 5, ReLU-NMD (TSVD init), 0.142272, 0.221445, 0.843060, 131.00
0.25, 0.47, 5, sigma-NMD (Random init), 0.072891, 0.178555, 0.400036, 92.00
0.25, 0.47, 5, ReLU-NMD (Random init), 0.145712, 0.181119, 584.991673, 1089.00
0.25, 0.47, 5, NMF, 0.304383, 0.153846, 2.421706, 95.00
0.25, 0.47, 10, TSVD, 0.063205, 0.212354, 3.641539, 5060.00
0.25, 0.47, 10, sigma-NMD (TSVD init), 0.000251, 0.170163, 0.400289, 81.00
0.25, 0.47, 10, ReLU-NMD (TSVD init), 0.000100, 0.177156, 1.520537, 695.00
0.25, 0.47, 10, sigma-NMD (Random init), 0.000239, 0.143590, 0.352437, 72.00
0.25, 0.47, 10, ReLU-NMD (Random init), 0.077258, 0.231235, 4.817992, 136.00
0.25, 0.47, 10, NMF, 0.137740, 0.221678, 65.233155, 367.00
