Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.20, 0.35, 2, TSVD, 0.630068, 0.230075, 0.415367, 54.00
0.20, 0.35, 2, sigma-NMD (TSVD init), 0.578733, 0.275376, 0.456048, 491.00
0.20, 0.35, 2, ReLU-NMD (TSVD init), 0.628364, 0.227444, 0.412319, 11.00
0.20, 0.35, 2, sigma-NMD (Random init), 0.581690, 0.293139, 0.466140, 586.00
0.20, 0.35, 2, ReLU-NMD (Random init), 0.806437, 0.329793, 11.844304, 32.00
0.20, 0.35, 2, NMF, 0.632206, 0.232613, 0.412127, 52.00
0.20, 0.35, 5, TSVD, 0.472279, 0.207613, 0.433274, 268.00
0.20, 0.35, 5, sigma-NMD (TSVD init), 0.251718, 0.253759, 0.495076, 2591.00
0.20, 0.35, 5, ReLU-NMD (TSVD init), 0.453701, 0.201128, 16910.100264, 21.00
0.20, 0.35, 5, sigma-NMD (Random init), 0.258044, 0.256015, 0.497781, 2401.00
0.20, 0.35, 5, ReLU-NMD (Random init), 0.529226, 0.264850, 247851.756150, 26.00
0.20, 0.35, 5, NMF, 0.484518, 0.217763, 1.288561, 64.00
0.20, 0.35, 10, TSVD, 0.296822, 0.268891, 0.954446, 975.00
0.20, 0.35, 10, sigma-NMD (TSVD init), 0.045300, 0.306391, 0.536439, 111.00
0.20, 0.35, 10, ReLU-NMD (TSVD init), 0.243977, 0.274436, 2283765970.994241, 21.00
0.20, 0.35, 10, sigma-NMD (Random init), 0.091393, 0.284305, 0.515206, 87.00
0.20, 0.35, 10, ReLU-NMD (Random init), 0.389801, 0.271335, 246864844.245208, 22.00
0.20, 0.35, 10, NMF, 0.333225, 0.247932, 60.892495, 146.00
