Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.35, 0.43, 2, TSVD, 0.457428, 0.187500, 0.399627, 34.00
0.35, 0.43, 2, sigma-NMD (TSVD init), 0.346192, 0.231667, 0.438331, 1041.00
0.35, 0.43, 2, ReLU-NMD (TSVD init), 0.453286, 0.186667, 0.394051, 11.00
0.35, 0.43, 2, sigma-NMD (Random init), 0.356875, 0.235167, 0.430051, 837.00
0.35, 0.43, 2, ReLU-NMD (Random init), 0.611880, 0.326000, 112771.322025, 50.00
0.35, 0.43, 2, NMF, 0.464444, 0.190000, 0.391998, 33.00
0.35, 0.43, 5, TSVD, 0.233361, 0.187167, 1.941553, 664.00
0.35, 0.43, 5, sigma-NMD (TSVD init), 0.000374, 0.180000, 0.406241, 111.00
0.35, 0.43, 5, ReLU-NMD (TSVD init), 0.097223, 0.226667, 1.151259, 121.00
0.35, 0.43, 5, sigma-NMD (Random init), 0.044947, 0.195500, 0.422895, 108.00
0.35, 0.43, 5, ReLU-NMD (Random init), 0.217753, 0.237667, 70586521.125422, 45.00
0.35, 0.43, 5, NMF, 0.282632, 0.196333, 13.543341, 178.00
0.35, 0.43, 10, TSVD, 0.011397, 0.234500, 3.376482, 10001.00
0.35, 0.43, 10, sigma-NMD (TSVD init), 0.000253, 0.205000, 0.427731, 81.00
0.35, 0.43, 10, ReLU-NMD (TSVD init), 0.003656, 0.245000, 971839.319325, 41.00
0.35, 0.43, 10, sigma-NMD (Random init), 0.000242, 0.171333, 0.382920, 74.00
0.35, 0.43, 10, ReLU-NMD (Random init), 0.142443, 0.268167, 1804181486.994448, 25.00
0.35, 0.43, 10, NMF, 0.090953, 0.249000, 139.471049, 706.00
