Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.20, 0.08, 2, TSVD, 0.824156, 0.075420, 0.248422, 75.00
0.20, 0.08, 2, sigma-NMD (TSVD init), 0.755897, 0.080726, 0.257658, 561.00
0.20, 0.08, 2, ReLU-NMD (TSVD init), 0.720660, 0.078458, 0.263105, 231.00
0.20, 0.08, 2, sigma-NMD (Random init), 0.754220, 0.081587, 0.260857, 745.00
0.20, 0.08, 2, ReLU-NMD (Random init), 0.744401, 0.084263, 0.353789, 145.00
0.20, 0.08, 2, NMF, 0.824211, 0.075737, 0.248417, 21.00
0.20, 0.08, 5, TSVD, 0.747028, 0.077098, 0.263826, 584.00
0.20, 0.08, 5, sigma-NMD (TSVD init), 0.318101, 0.102948, 0.318845, 1451.00
0.20, 0.08, 5, ReLU-NMD (TSVD init), 0.353372, 0.105215, 1.408526, 3791.00
0.20, 0.08, 5, sigma-NMD (Random init), 0.351986, 0.108526, 0.324104, 1768.00
0.20, 0.08, 5, ReLU-NMD (Random init), 0.388145, 0.103900, 1.443436, 2776.00
0.20, 0.08, 5, NMF, 0.754325, 0.078776, 0.624983, 57.00
0.20, 0.08, 10, TSVD, 0.629197, 0.089342, 0.537939, 1335.00
0.20, 0.08, 10, sigma-NMD (TSVD init), 0.099579, 0.141497, 0.365789, 141.00
0.20, 0.08, 10, ReLU-NMD (TSVD init), 0.124850, 0.115646, 0.562981, 241.00
0.20, 0.08, 10, sigma-NMD (Random init), 0.213136, 0.116644, 0.327663, 125.00
0.20, 0.08, 10, ReLU-NMD (Random init), 0.184916, 0.119410, 0.546767, 157.00
0.20, 0.08, 10, NMF, 0.652106, 0.087619, 9.180425, 122.00
