Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.10, 0.08, 2, TSVD, 0.827218, 0.071688, 0.244405, 66.00
0.10, 0.08, 2, sigma-NMD (TSVD init), 0.757382, 0.081670, 0.260095, 801.00
0.10, 0.08, 2, ReLU-NMD (TSVD init), 0.725304, 0.076225, 0.240923, 131.00
0.10, 0.08, 2, sigma-NMD (Random init), 0.758955, 0.079855, 0.260270, 743.00
0.10, 0.08, 2, ReLU-NMD (Random init), 0.754956, 0.080581, 78.526184, 142.00
0.10, 0.08, 2, NMF, 0.827256, 0.071688, 0.244397, 21.00
0.10, 0.08, 5, TSVD, 0.755763, 0.072414, 0.246886, 615.00
0.10, 0.08, 5, sigma-NMD (TSVD init), 0.342814, 0.092559, 0.298710, 2821.00
0.10, 0.08, 5, ReLU-NMD (TSVD init), 0.413976, 0.096189, 0.533515, 2931.00
0.10, 0.08, 5, sigma-NMD (Random init), 0.383649, 0.098820, 0.309573, 2413.00
0.10, 0.08, 5, ReLU-NMD (Random init), 0.432838, 0.100091, 0.923799, 2115.00
0.10, 0.08, 5, NMF, 0.762099, 0.076679, 0.432823, 61.00
0.10, 0.08, 10, TSVD, 0.654021, 0.081851, 0.572650, 1206.00
0.10, 0.08, 10, sigma-NMD (TSVD init), 0.158922, 0.115245, 0.322489, 161.00
0.10, 0.08, 10, ReLU-NMD (TSVD init), 0.146644, 0.112523, 0.581030, 501.00
0.10, 0.08, 10, sigma-NMD (Random init), 0.216808, 0.107895, 0.317901, 147.00
0.10, 0.08, 10, ReLU-NMD (Random init), 0.199749, 0.107623, 0.489369, 282.00
0.10, 0.08, 10, NMF, 0.672546, 0.078131, 1.373117, 75.00
