Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.30, 0.54, 2, sigma-NMD (TSVD init), 0.443722 ± 0.000019, 0.161313 ± 0.000045, 0.337189 ± 0.000019, 179.00 ± 3.590110
0.30, 0.54, 2, sigma-NMD (Random init), 0.443648 ± 0.000015, 0.161662 ± 0.000040, 0.337101 ± 0.000028, 177.00 ± 3.055050
0.30, 0.54, 2, eBCD-NMD (TSVD init), 0.460674 ± 0.000000, 0.166784 ± 0.000014, 0.342206 ± 0.000000, 12.00 ± 0.000000
0.30, 0.54, 2, eBCD-NMD (Random init), 0.531651 ± 0.000144, 0.221595 ± 0.000441, 0.399158 ± 0.000109, 18.00 ± 0.258199
0.30, 0.54, 2, TSVD, 0.461092 ± 0.000000, 0.165675 ± 0.000004, 0.343338 ± 0.000000, 30.00 ± 1.000000
0.30, 0.54, 5, sigma-NMD (TSVD init), 0.338581 ± 0.000091, 0.125198 ± 0.000240, 0.321535 ± 0.000279, 1278.00 ± 14.533486
0.30, 0.54, 5, sigma-NMD (Random init), 0.339933 ± 0.000524, 0.128101 ± 0.000583, 0.325408 ± 0.000970, 1287.00 ± 14.157840
0.30, 0.54, 5, eBCD-NMD (TSVD init), 0.400919 ± 0.000002, 0.129294 ± 0.000093, 0.308423 ± 0.000021, 13.00 ± 0.000000
0.30, 0.54, 5, eBCD-NMD (Random init), 0.487392 ± 0.000003, 0.196778 ± 0.000073, 0.380940 ± 0.000009, 20.20 ± 0.592546
0.30, 0.54, 5, TSVD, 0.401352 ± 0.000002, 0.129446 ± 0.000090, 0.309546 ± 0.000011, 78.00 ± 2.134375
0.30, 0.54, 10, sigma-NMD (TSVD init), 0.193842 ± 0.000404, 0.123195 ± 0.000223, 0.345046 ± 0.000338, 1476.00 ± 59.689009
0.30, 0.54, 10, sigma-NMD (Random init), 0.201306 ± 0.000923, 0.125574 ± 0.000394, 0.349255 ± 0.000496, 1527.00 ± 40.584617
0.30, 0.54, 10, eBCD-NMD (TSVD init), 0.354869 ± 0.000109, 0.110180 ± 0.000250, 0.290361 ± 0.000200, 19.90 ± 1.303414
0.30, 0.54, 10, eBCD-NMD (Random init), 0.457700 ± 0.000014, 0.220307 ± 0.000220, 0.389738 ± 0.000078, 35.50 ± 5.651450
0.30, 0.54, 10, TSVD, 0.355176 ± 0.000151, 0.109717 ± 0.000203, 0.293565 ± 0.000167, 460.00 ± 38.339130
