Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.45, 0.42, 2, TSVD, 0.433361, 0.221373, 0.424248, 38.00
0.45, 0.42, 2, sigma-NMD (TSVD init), 0.335636, 0.240933, 0.457134, 1111.00
0.45, 0.42, 2, ReLU-NMD (TSVD init), 0.429172, 0.221503, 0.413915, 11.00
0.45, 0.42, 2, sigma-NMD (Random init), 0.335210, 0.250518, 0.449601, 1012.00
0.45, 0.42, 2, ReLU-NMD (Random init), 0.602584, 0.349741, 1724054.148000, 33.00
0.45, 0.42, 2, NMF, 0.441501, 0.223057, 0.413301, 34.00
0.45, 0.42, 5, TSVD, 0.220442, 0.219689, 1.216660, 633.00
0.45, 0.42, 5, sigma-NMD (TSVD init), 0.000401, 0.213731, 0.448129, 101.00
0.45, 0.42, 5, ReLU-NMD (TSVD init), 0.124185, 0.217617, 1.710618, 31.00
0.45, 0.42, 5, sigma-NMD (Random init), 0.035624, 0.215803, 0.440533, 102.00
0.45, 0.42, 5, ReLU-NMD (Random init), 0.230626, 0.303109, 18890129.297205, 82.00
0.45, 0.42, 5, NMF, 0.273130, 0.216192, 20.244101, 188.00
0.45, 0.42, 10, TSVD, 0.004404, 0.302591, 1.402300, 10001.00
0.45, 0.42, 10, sigma-NMD (TSVD init), 0.000256, 0.240933, 0.471399, 81.00
0.45, 0.42, 10, ReLU-NMD (TSVD init), 0.000099, 0.292746, 0.975050, 49.00
0.45, 0.42, 10, sigma-NMD (Random init), 0.005016, 0.194041, 0.406667, 72.00
0.45, 0.42, 10, ReLU-NMD (Random init), 0.084485, 0.319430, 18829278.117570, 89.00
0.45, 0.42, 10, NMF, 0.070391, 0.316062, 84.408297, 1165.00
