Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.30, 0.47, 2, TSVD, 0.473290, 0.193204, 0.384417, 32.00
0.30, 0.47, 2, sigma-NMD (TSVD init), 0.354927, 0.215534, 0.404891, 1091.00
0.30, 0.47, 2, ReLU-NMD (TSVD init), 0.470813, 0.192233, 0.382224, 11.00
0.30, 0.47, 2, sigma-NMD (Random init), 0.367414, 0.226796, 0.419408, 855.00
0.30, 0.47, 2, ReLU-NMD (Random init), 0.589456, 0.309709, 159.721461, 51.00
0.30, 0.47, 2, NMF, 0.477574, 0.194175, 0.384716, 34.00
0.30, 0.47, 5, TSVD, 0.260429, 0.128544, 0.712653, 388.00
0.30, 0.47, 5, sigma-NMD (TSVD init), 0.043939, 0.157282, 0.380704, 101.00
0.30, 0.47, 5, ReLU-NMD (TSVD init), 0.101573, 0.198058, 1.376809, 271.00
0.30, 0.47, 5, sigma-NMD (Random init), 0.048296, 0.166019, 0.389525, 110.00
0.30, 0.47, 5, ReLU-NMD (Random init), 0.156065, 0.209709, 8701.801465, 255.00
0.30, 0.47, 5, NMF, 0.298004, 0.151845, 4.065009, 123.00
0.30, 0.47, 10, TSVD, 0.044239, 0.217282, 4.228240, 7474.00
0.30, 0.47, 10, sigma-NMD (TSVD init), 0.000260, 0.184466, 0.410510, 101.00
0.30, 0.47, 10, ReLU-NMD (TSVD init), 0.000100, 0.207767, 2.425476, 989.00
0.30, 0.47, 10, sigma-NMD (Random init), 0.000245, 0.153204, 0.365658, 77.00
0.30, 0.47, 10, ReLU-NMD (Random init), 0.080038, 0.239612, 295.491710, 165.00
0.30, 0.47, 10, NMF, 0.128178, 0.215534, 62.377158, 403.00
