Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.50, 0.08, 2, TSVD, 0.813007, 0.079499, 0.259714, 90.00
0.50, 0.08, 2, sigma-NMD (TSVD init), 0.707757, 0.086357, 0.281144, 791.00
0.50, 0.08, 2, ReLU-NMD (TSVD init), 0.666771, 0.096880, 0.537173, 171.00
0.50, 0.08, 2, sigma-NMD (Random init), 0.724397, 0.089441, 0.281373, 916.00
0.50, 0.08, 2, ReLU-NMD (Random init), 0.713004, 0.103556, 240935.036755, 110.00
0.50, 0.08, 2, NMF, 0.813080, 0.079826, 0.259692, 23.00
0.50, 0.08, 5, TSVD, 0.690127, 0.095900, 0.650148, 1139.00
0.50, 0.08, 5, sigma-NMD (TSVD init), 0.193363, 0.133527, 0.359352, 721.00
0.50, 0.08, 5, ReLU-NMD (TSVD init), 0.347374, 0.117380, 54986.922498, 61.00
0.50, 0.08, 5, sigma-NMD (Random init), 0.273657, 0.124728, 0.344453, 364.00
0.50, 0.08, 5, ReLU-NMD (Random init), 0.400261, 0.132329, 14667.719856, 45.00
0.50, 0.08, 5, NMF, 0.707124, 0.095773, 8.110693, 117.00
0.50, 0.08, 10, TSVD, 0.488296, 0.136212, 2.067950, 3377.00
0.50, 0.08, 10, sigma-NMD (TSVD init), 0.048344, 0.149855, 0.370890, 111.00
0.50, 0.08, 10, ReLU-NMD (TSVD init), 0.078703, 0.156386, 12178.943376, 61.00
0.50, 0.08, 10, sigma-NMD (Random init), 0.165993, 0.125163, 0.337406, 84.00
0.50, 0.08, 10, ReLU-NMD (Random init), 0.191498, 0.146934, 11999.341914, 33.00
0.50, 0.08, 10, NMF, 0.534442, 0.117852, 141.521817, 252.00
