Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.55, 0.46, 2, TSVD, 0.449277, 0.220233, 0.983709, 82.00
0.55, 0.46, 2, sigma-NMD (TSVD init), 0.311737, 0.268008, 0.475804, 1251.00
0.55, 0.46, 2, ReLU-NMD (TSVD init), 0.445550, 0.220339, 1.051147, 11.00
0.55, 0.46, 2, sigma-NMD (Random init), 0.343192, 0.304661, 0.506368, 919.00
0.55, 0.46, 2, ReLU-NMD (Random init), 0.571354, 0.343644, 44477.799038, 57.00
0.55, 0.46, 2, NMF, 0.456988, 0.211653, 0.436007, 55.00
0.55, 0.46, 5, TSVD, 0.159409, 0.259216, 3.134219, 1707.00
0.55, 0.46, 5, sigma-NMD (TSVD init), 0.000430, 0.240466, 0.463266, 91.00
0.55, 0.46, 5, ReLU-NMD (TSVD init), 0.082256, 0.273305, 1.726949, 21.00
0.55, 0.46, 5, sigma-NMD (Random init), 0.022239, 0.259216, 0.482601, 86.00
0.55, 0.46, 5, ReLU-NMD (Random init), 0.282748, 0.345869, 1062401905.659891, 30.00
0.55, 0.46, 5, NMF, 0.229786, 0.243114, 97.647276, 268.00
0.55, 0.46, 10, TSVD, 0.000196, 0.314513, 0.816519, 5775.40
0.55, 0.46, 10, sigma-NMD (TSVD init), 0.000284, 0.242585, 0.460657, 81.00
0.55, 0.46, 10, ReLU-NMD (TSVD init), 0.000095, 0.343220, 1.201196, 3.00
0.55, 0.46, 10, sigma-NMD (Random init), 0.005742, 0.219915, 0.434679, 70.00
0.55, 0.46, 10, ReLU-NMD (Random init), 0.146381, 0.372246, 112820097.190284, 1021.00
0.55, 0.46, 10, NMF, 0.027387, 0.325318, 72.733849, 4412.00
